id,county_id,subcounty_id,name,code,createdAt,updatedAt
805,30,162,Lembus,ward805,2023-08-10T09:40:58.942+03:00,2023-08-10T09:40:58.942+03:00
806,30,162,Lembus Kwen,ward806,2023-08-10T09:40:58.943+03:00,2023-08-10T09:40:58.943+03:00
807,30,162,Ravine,ward807,2023-08-10T09:40:58.943+03:00,2023-08-10T09:40:58.943+03:00
1434,47,288,Pumwani,ward1434,2023-08-10T09:40:59.455+03:00,2023-08-10T09:40:59.455+03:00
808,30,162,Mumberes/maji Mazuri,ward808,2023-08-10T09:40:58.949+03:00,2023-08-10T09:40:58.949+03:00
809,30,162,Lembus/perkerra,ward809,2023-08-10T09:40:58.953+03:00,2023-08-10T09:40:58.953+03:00
810,30,162,Koibatek,ward810,2023-08-10T09:40:58.954+03:00,2023-08-10T09:40:58.954+03:00
1368,47,274,Karura,ward1368,2023-08-10T09:40:59.424+03:00,2023-08-10T09:40:59.424+03:00
814,31,163,Marmanet,ward814,2023-08-10T09:40:58.958+03:00,2023-08-10T09:40:58.958+03:00
815,31,163,Igwamiti,ward815,2023-08-10T09:40:58.959+03:00,2023-08-10T09:40:58.959+03:00
818,31,164,Tigithi,ward818,2023-08-10T09:40:58.963+03:00,2023-08-10T09:40:58.963+03:00
1369,47,274,Kangemi,ward1369,2023-08-10T09:40:59.425+03:00,2023-08-10T09:40:59.425+03:00
816,31,163,Salama,ward816,2023-08-10T09:40:58.960+03:00,2023-08-10T09:40:58.960+03:00
817,31,164,Ngobit,ward817,2023-08-10T09:40:58.962+03:00,2023-08-10T09:40:58.962+03:00
819,31,164,Thingithu,ward819,2023-08-10T09:40:58.964+03:00,2023-08-10T09:40:58.964+03:00
820,31,164,Nanyuki,ward820,2023-08-10T09:40:58.965+03:00,2023-08-10T09:40:58.965+03:00
822,31,165,Sosian,ward822,2023-08-10T09:40:58.966+03:00,2023-08-10T09:40:58.966+03:00
827,32,166,Elburgon,ward827,2023-08-10T09:40:58.975+03:00,2023-08-10T09:40:58.975+03:00
1315,45,264,Masige West,ward1315,2023-08-10T09:40:59.389+03:00,2023-08-10T09:40:59.389+03:00
823,31,165,Segera,ward823,2023-08-10T09:40:58.968+03:00,2023-08-10T09:40:58.968+03:00
828,32,166,Turi,ward828,2023-08-10T09:40:58.976+03:00,2023-08-10T09:40:58.976+03:00
1370,47,274,Moutain View,ward1370,2023-08-10T09:40:59.425+03:00,2023-08-10T09:40:59.425+03:00
824,31,165,Mugogodo West,ward824,2023-08-10T09:40:58.971+03:00,2023-08-10T09:40:58.971+03:00
829,32,166,Molo,ward829,2023-08-10T09:40:58.977+03:00,2023-08-10T09:40:58.977+03:00
835,32,167,Njoro,ward835,2023-08-10T09:40:58.983+03:00,2023-08-10T09:40:58.983+03:00
1436,47,288,Eastleigh South,ward1436,2023-08-10T09:40:59.455+03:00,2023-08-10T09:40:59.455+03:00
825,31,165,Mugogodo East,ward825,2023-08-10T09:40:58.972+03:00,2023-08-10T09:40:58.972+03:00
826,32,166,Mariashoni,ward826,2023-08-10T09:40:58.974+03:00,2023-08-10T09:40:58.974+03:00
1371,47,275,Kilimani,ward1371,2023-08-10T09:40:59.426+03:00,2023-08-10T09:40:59.426+03:00
830,32,167,Mau Narok,ward830,2023-08-10T09:40:58.978+03:00,2023-08-10T09:40:58.978+03:00
831,32,167,Mauche,ward831,2023-08-10T09:40:58.979+03:00,2023-08-10T09:40:58.979+03:00
832,32,167,Kihingo,ward832,2023-08-10T09:40:58.981+03:00,2023-08-10T09:40:58.981+03:00
833,32,167,Nessuit,ward833,2023-08-10T09:40:58.982+03:00,2023-08-10T09:40:58.982+03:00
1372,47,275,Kawangware,ward1372,2023-08-10T09:40:59.426+03:00,2023-08-10T09:40:59.426+03:00
839,32,168,Maai Mahiu,ward839,2023-08-10T09:40:58.986+03:00,2023-08-10T09:40:58.986+03:00
840,32,168,Maiela,ward840,2023-08-10T09:40:58.987+03:00,2023-08-10T09:40:58.987+03:00
841,32,168,Olkaria,ward841,2023-08-10T09:40:58.988+03:00,2023-08-10T09:40:58.988+03:00
842,32,168,Naivasha East,ward842,2023-08-10T09:40:58.989+03:00,2023-08-10T09:40:58.989+03:00
1373,47,275,Gatina,ward1373,2023-08-10T09:40:59.427+03:00,2023-08-10T09:40:59.427+03:00
843,32,168,Viwanda,ward843,2023-08-10T09:40:58.990+03:00,2023-08-10T09:40:58.990+03:00
844,32,169,Gilgil,ward844,2023-08-10T09:40:58.991+03:00,2023-08-10T09:40:58.991+03:00
845,32,169,Elementaita,ward845,2023-08-10T09:40:58.992+03:00,2023-08-10T09:40:58.992+03:00
849,32,170,Amalo,ward849,2023-08-10T09:40:59.003+03:00,2023-08-10T09:40:59.003+03:00
846,32,169,Mbaruk/eburru,ward846,2023-08-10T09:40:58.993+03:00,2023-08-10T09:40:58.993+03:00
847,32,169,Malewa West,ward847,2023-08-10T09:40:58.994+03:00,2023-08-10T09:40:58.994+03:00
848,32,169,Murindat,ward848,2023-08-10T09:40:59.001+03:00,2023-08-10T09:40:59.001+03:00
1437,47,288,Air Base,ward1437,2023-08-10T09:40:59.456+03:00,2023-08-10T09:40:59.456+03:00
1438,47,288,California,ward1438,2023-08-10T09:40:59.456+03:00,2023-08-10T09:40:59.456+03:00
850,32,170,Keringet,ward850,2023-08-10T09:40:59.004+03:00,2023-08-10T09:40:59.004+03:00
851,32,170,Kiptagich,ward851,2023-08-10T09:40:59.006+03:00,2023-08-10T09:40:59.006+03:00
852,32,170,Tinet,ward852,2023-08-10T09:40:59.007+03:00,2023-08-10T09:40:59.007+03:00
853,32,171,Kiptororo,ward853,2023-08-10T09:40:59.008+03:00,2023-08-10T09:40:59.008+03:00
862,32,173,Visoi,ward862,2023-08-10T09:40:59.018+03:00,2023-08-10T09:40:59.018+03:00
854,32,171,Nyota,ward854,2023-08-10T09:40:59.009+03:00,2023-08-10T09:40:59.009+03:00
855,32,171,Sirikwa,ward855,2023-08-10T09:40:59.011+03:00,2023-08-10T09:40:59.011+03:00
856,32,171,Kamara,ward856,2023-08-10T09:40:59.012+03:00,2023-08-10T09:40:59.012+03:00
857,32,172,Subukia,ward857,2023-08-10T09:40:59.013+03:00,2023-08-10T09:40:59.013+03:00
863,32,173,Mosop,ward863,2023-08-10T09:40:59.019+03:00,2023-08-10T09:40:59.019+03:00
858,32,172,Waseges,ward858,2023-08-10T09:40:59.014+03:00,2023-08-10T09:40:59.014+03:00
859,32,172,Kabazi,ward859,2023-08-10T09:40:59.015+03:00,2023-08-10T09:40:59.015+03:00
860,32,173,Menengai West,ward860,2023-08-10T09:40:59.016+03:00,2023-08-10T09:40:59.016+03:00
861,32,173,Soin,ward861,2023-08-10T09:40:59.017+03:00,2023-08-10T09:40:59.017+03:00
864,32,173,Solai,ward864,2023-08-10T09:40:59.019+03:00,2023-08-10T09:40:59.019+03:00
865,32,174,Dundori,ward865,2023-08-10T09:40:59.021+03:00,2023-08-10T09:40:59.021+03:00
866,32,174,Kabatini,ward866,2023-08-10T09:40:59.021+03:00,2023-08-10T09:40:59.021+03:00
867,32,174,Kiamaina,ward867,2023-08-10T09:40:59.022+03:00,2023-08-10T09:40:59.022+03:00
868,32,174,Lanet/umoja,ward868,2023-08-10T09:40:59.022+03:00,2023-08-10T09:40:59.022+03:00
869,32,174,Bahati,ward869,2023-08-10T09:40:59.023+03:00,2023-08-10T09:40:59.023+03:00
890,33,178,Kapsasian,ward890,2023-08-10T09:40:59.052+03:00,2023-08-10T09:40:59.052+03:00
957,35,192,Waldai,ward957,2023-08-10T09:40:59.130+03:00,2023-08-10T09:40:59.130+03:00
870,32,175,Barut,ward870,2023-08-10T09:40:59.024+03:00,2023-08-10T09:40:59.024+03:00
871,32,175,London,ward871,2023-08-10T09:40:59.025+03:00,2023-08-10T09:40:59.025+03:00
872,32,175,Kaptembwo,ward872,2023-08-10T09:40:59.025+03:00,2023-08-10T09:40:59.025+03:00
873,32,175,Kapkures,ward873,2023-08-10T09:40:59.026+03:00,2023-08-10T09:40:59.026+03:00
874,32,175,Rhoda,ward874,2023-08-10T09:40:59.026+03:00,2023-08-10T09:40:59.027+03:00
875,32,175,Shaabab,ward875,2023-08-10T09:40:59.027+03:00,2023-08-10T09:40:59.027+03:00
